"","TotalScore","TotalDispersion"
"BLCA_Nac_11",0.320623380438318,260.9376
"BLCA_Cx_143",0.315000157366317,1713.8856
"BLCA_Cx_118",0.314632969292586,1495.9434
"BLCA_Nac_52",0.288352794301241,512.9796
"BLCA_Nac_41",0.270203212371091,905.8686
"BLCA_Nac_121",0.260467482873299,2093.4312
"BLCA_Cx_197",0.253711222316642,1159.3932
"BLCA_Nac_98",0.251256307766552,2714.6406
"BLCA_Nac_82",0.250826173165896,763.539
"BLCA_Nac_89",0.241237318897596,695.3394
"BLCA_Nac_122",0.223161174582192,3003.7476
"BLCA_Nac_45",0.219489293844879,4415.1828
"BLCA_Nac_62",0.216520315991565,2123.0832
"BLCA_Nac_269",0.208914277321415,1596.7602
"BLCA_Nac_116",0.208652000125893,5089.7658
"BLCA_Cx_234",0.198297296446669,2960.7522
"BLCA_Cx_240",0.197940599460758,1417.3656
"BLCA_Nac_46",0.197132785698549,1722.7812
"BLCA_Cx_244",0.195999748213892,2449.2552
"BLCA_Nac_100",0.195611577964519,2910.3438
"BLCA_Nac_108",0.193891039561892,2081.5704
"BLCA_Nac_42",0.193523851488161,5596.815
"BLCA_Nac_126",0.188194378875146,3627.9222
"BLCA_Nac_103",0.185162454494907,1320.9966
"BLCA_Nac_43",0.178353738499145,2480.3898
"BLCA_Cx_123",0.176780075326011,2219.4522
"BLCA_Nac_143",0.175500162611861,5429.2812
"BLCA_Nac_58",0.171880737313652,3006.7128
"BLCA_Nac_102",0.170391002843085,3687.2262
"BLCA_Nac_47",0.168250820927622,4570.8558
"BLCA_Nac_145",0.167799704151323,5669.4624
"BLCA_Cx_212",0.16764233783401,3008.1954
"BLCA_Nac_13",0.163435411617831,2622.7194
"BLCA_Nac_55",0.16284791069986,6542.7138
"BLCA_Nac_110",0.162417776099204,2698.332
"BLCA_Cx_178",0.161211300999801,3195.003
"BLCA_Nac_50",0.156374909514368,2686.4712
"BLCA_Nac_127",0.155902810562427,5002.2924
"BLCA_Cx_130",0.155420220522666,6360.354
"BLCA_Nac_139",0.148076459048039,6688.0086
"BLCA_Nac_129",0.14750994030571,4177.9668
"BLCA_Nac_80",0.147415520515322,5844.4092
"BLCA_Nac_18",0.146093643449889,2573.7936
