"","TotalScore","TotalDispersion"
"BLCA_Nac_23",0.0878785971317366,4625.712
"BLCA_Cx_258",0.0870812744573485,5513.7894
"BLCA_Nac_118",0.0854761380207514,7155.0276
"BLCA_Nac_138",0.0829268036802736,5432.2464
"BLCA_Nac_86",0.0822763562353781,4404.8046
"BLCA_Nac_44",0.0819826057763929,4134.9714
"BLCA_Nac_120",0.0819826057763929,6126.1032
"BLCA_Nac_16",0.0805243445692884,4806.5892
"BLCA_Cx_187",0.0802830495494078,4609.4034
"BLCA_Nac_130",0.0791395209769301,3066.0168
"BLCA_Nac_146",0.0701696408900639,7718.4156
"BLCA_Nac_4",0.0696660686746609,6842.199
"BLCA_Nac_115",0.06824977181884,4532.3082
"BLCA_Nac_92",0.0679455302720339,4510.0692
"BLCA_Nac_140",0.065112936560392,5152.035
"BLCA_Cx_101",0.0613990914717947,6077.1774
"BLCA_Nac_119",0.0604444024800932,5877.0264
"BLCA_Nac_128",0.0572026563434362,6410.7624
"BLCA_Nac_32",0.0551778763940033,4355.8788
"BLCA_Cx_255",0.0476452753385999,4062.324
"BLCA_Nac_24",0.0469633546302416,7119.4452
"BLCA_Nac_131",0.0467325506981819,6431.5188
"BLCA_Cx_305",0.0437425906692265,5402.5944
"BLCA_Nac_95",0.0427774105897041,5143.1394
"BLCA_Nac_53",0.0396300842434352,5490.0678
"BLCA_Nac_10",0.0389691457107187,5137.209
"BLCA_Nac_87",0.0386753952517336,5748.0402
"BLCA_Nac_38",0.0386019576369874,6750.2778
"BLCA_Nac_57",0.038339680441465,6020.8386
"BLCA_Cx_73",0.0378151260504201,8550.1542
"BLCA_Cx_131",0.0304294002245094,6197.268
"BLCA_Nac_112",0.0304189091366883,2653.854
"BLCA_Nac_150",0.0240088544781208,1550.7996
"BLCA_Nac_37",0.0218267082113744,3321.024
"BLCA_Nac_34",0.0215119755767476,4842.1716
"BLCA_Nac_90",0.0211447875030162,2302.4778
"BLCA_Nac_54",0.0151229030938218,4550.0994
"BLCA_Nac_124",0.0137380795014636,6928.1898
"BLCA_Nac_33",0.00616351409477645,6175.029
"BLCA_Nac_3",0.00434855590176142,7067.5542
"BLCA_Nac_27",0.000225558388149305,6326.2542
"BLCA_Nac_148",-0.011262182775732,2816.94
"BLCA_Cx_200",-0.0571187276408691,4980.0534
"BLCA_Nac_9",-0.0765167490217061,4075.6674
